PLUGIN_ID,NAME,SEGMENT_CALCD_VIEWS,PRODUCT_CALCD_VIEWS
935401919939492641,Components to Instances (internal process),8,240
931144498826786584,Repeater,1504,46902
921057341010765212,Ignore me,2,83
937986289432832536,COD 抽抽乐,41,690
938533872521067245,SeCo,1445,48696
981790687610769670,React Icons,30,707
948479138222198270,LegoTranslate,158,5098
965019607042860512,Twitch Avatar Getter,3,153
969496279507778512,LCH,504,19351
972127223763064631,Space Invaders 👾,18,593
976890777699137834,Semantic Colors,112,3594
1001586978302775597,SYSTM Copy Doc,1,37
986271690967006972,Neurodiem content,2,55
989887108667938748,Mirror Actual Screen Size,430,10660
1020018377519126909,Lulo Protofly,11,334
993993889730044076,VK Data,304,9542
995281108119435827,Line Height,959,25030
997248459995094057,Schema - Smart Placeholders,7,219
1010535336304448939,Сhameleon Beta,5,237
979441006797488478,Automate Color Styles,981,26646
969605084843030535,Chinese Copywriting Linter,1940,54914
1011367955824608832,Visual Center,568,16864
1012416367844254957,Toolset for UX Design,3214,4022
1026880323669555103,Time Tracker,566,595
1013163862027130953,Galileo,43,794
1033416427832756728,ABSA Brand Illustration,5,6
1027021863605535783,TWP Data Mapper,8,210
1029191187977950214,lil todo,712,907
1029415284789228817,Figma2xaml,314,602
1027643066088899293,Amount Color Contrast,2,85
1031933047254087478,lil dice,122,208
1030203787137883430,CoderPad,663,791
1030933889092035687,Color Picker for Figjam,359,440
1034526446963377584,Square Syntax Highlighter,10,10
880826733808822304,Translations for figma,3589,178121
912288054710041651,ALYX(test),6,202
959712053472672516,ReDS Inspect,2,60
1000018270921149282,Lanhu,13620,380755
1018739020493314128,Figma Format,2,58
1022883178886785241,Super Translate — Aplha,8,210
731260490045684148,Content Buddy,18102,644171
733062974250826253,Translate,9679,354309
739031302880873832,Select Inverse for Real,926,43673
735650288109030027,QR Code Generator,15626,531948
744725347356614754,Dominant Color Toolkit 🎨,6074,224157
759529200748220659,Reorder Layers,366,9927
744987207861965946,Shadow picker,17348,600373
741940457537193498,Airtable to Figma,7521,283337
742769304454952644,Status ✅,5709,201434
760035865558407437,Hemingway,3312,121923
754404293457940119,Component Master Manager,7975,264066
750499296698468459,Retextifier,9328,300721
769033212122764418,Anywhere Picker,2194,90621
766336259561453389,Commentor,5387,173947
768906578708356220,Content Catalog,479,14468
774394592121081636,Replace with brand color,18,353
774395294127075109,Replace with component,13,462
780882879145161313,json-data-merge,20,462
796124491692147799,Bannerify Banner Studio,23317,788315
783089640972424019,Phyllotax,7680,253330
785894722513806497,Component Utilities,11914,409779
759050501649392825,Superposition,3634,132619
802230205741773645,Spacers,6020,211370
845367649027913572,Figma-to-Code by Plasmic,6412,225774
889777319208467032,Motion,61663,2050504
809539297364386606,Instantiator,37,1671
756200620527677304,Export to PowerPoint (Beta),367,11004
775712743044356003,Duotones,14760,489181
809843676692807511,Frontitude • UX copy management,8272,288598
814629607134624394,LPL Lint,195,6253
968555028114672265,NK - Theme Swapper,75,1766
833020696010433995,Linky,6770,248139
811556645239532627,Progressbar Ratio,2493,106268
832268423801619787,Origami Pasteboard,5783,211528
832685945992381831,HPExs Design Resources,61,1768
840622982355646304,KPL Support,5,293
838708163765754317,Hidden Kittens,6120,277481
831586569094537430,Tokenizer,122,2861
854338091621516631,React Figma,13497,505116
861606501301970580,Dimmer It!,1043,35820
864530734780071096,Marybot,29,583
868341386266170307,Bootstrap Icons,16146,575547
841435609952260079,Unit Converter,10900,329984
873150483419988899,BUI Themer,411,8963
885358006246071027,DesignSystem-ios,18,278
886688414738743606,Hosted Export,2009,82436
891651591932556735,Sweeper - design linter,1152,45234
864398103320664211,Protopie Import Demo,16,426
893426972424060133,Freepik,11367,363686
920419041422495801,Random grouper,6,224
